artistID	tagID
52	13
52	15
52	18
52	21
52	41
63	13
63	14
63	23
63	40
73	13
73	14
73	15
73	18
73	20
73	21
73	22
73	26
94	13
94	15
94	20
94	21
94	22
94	36
94	37
94	39
96	19
96	24
995	16
995	17
995	24
995	25
995	42
995	43
3894	16
3894	32
3894	33
6160	14
6160	34
6177	13
6177	14
6177	15
6177	20
6177	38
9322	18
9322	35
101	14
101	15
101	33
101	44
101	45
101	46
101	47
101	48
101	49
101	50
101	51
101	52
101	53
101	54
101	55
101	56
101	57
101	58
101	63
101	64
101	65
101	68
101	71
102	14
102	15
102	18
102	33
102	44
102	45
102	46
102	69
106	14
106	33
106	34
106	44
106	52
108	15
108	33
108	46
108	47
108	49
108	55
122	15
122	33
122	46
128	14
128	53
130	14
130	33
130	44
130	66
134	14
134	33
134	34
134	70
137	44
51	16
51	25
53	18
64	13
64	18
70	18
72	18
80	18
99	73
151	14
152	75
153	74
154	79
156	79
157	24
162	77
163	75
164	93
165	18
167	80
170	78
171	73
173	78
174	88
175	14
180	24
180	72
181	82
183	85
184	24
185	73
188	76
192	24
193	25
217	84
463	24
467	24
632	87
706	72
726	89
918	1
918	91
920	76
1009	90
1248	73
1295	86
1385	84
1713	18
1745	18
1810	72
1824	15
1870	92
1873	78
1917	7
2370	76
2961	6
3416	76
3863	90
3988	74
8266	83
8512	73
53	95
154	94
182	95
182	99
190	95
195	95
197	95
200	98
202	95
215	95
216	94
222	94
232	94
233	94
236	99
447	98
618	96
618	97
618	99
733	96
862	94
863	96
951	95
1123	95
1239	95
1383	97
2786	96
3203	94
3203	95
3203	96
3203	98
3430	97
3691	94
3691	98
3749	96
4079	95
4114	96
8722	99
10610	94
10610	95
12726	97
13714	95
13714	97
243	117
243	118
243	119
243	120
244	100
244	101
244	112
244	113
244	114
712	121
2911	102
2911	103
2911	122
2911	123
55	127
288	127
288	128
291	24
291	130
334	24
334	30
334	130
334	131
335	24
335	30
335	73
345	30
345	130
345	134
345	135
345	136
348	30
348	73
357	127
14103	24
14103	30
14103	130
8	73
8	138
8	139
8	141
209	73
221	137
229	73
258	137
370	138
371	137
372	137
372	139
373	146
373	155
373	156
373	157
373	158
374	137
375	140
376	137
377	73
377	137
379	137
379	140
382	141
384	144
387	137
390	139
391	137
392	137
394	137
395	137
395	140
396	139
397	137
397	139
397	141
398	137
401	137
402	137
403	73
405	137
406	139
410	71
410	145
410	147
410	148
410	149
414	137
415	28
415	30
481	137
486	137
488	137
490	138
493	73
493	79
493	137
493	138
504	138
517	138
518	137
701	137
920	138
955	89
966	137
1126	137
1131	138
1194	73
1375	137
1378	79
1475	143
1519	73
1602	137
1795	137
1814	137
1874	73
1901	137
1912	137
1912	140
1922	137
1922	140
1923	141
1933	139
1933	141
2050	143
2051	143
2102	140
2369	138
2457	137
2544	143
2546	137
2941	73
3302	137
3351	160
3427	79
3429	138
3498	137
3563	137
3563	138
3929	137
3946	137
4179	137
4321	138
4332	137
4332	138
4342	138
4980	137
4987	137
4987	144
5073	142
5080	140
5084	139
5087	139
5091	139
5332	142
5571	140
5573	137
5731	137
6730	73
8396	141
8404	141
9556	137
10603	137
11049	73
12702	137
12702	141
13785	141
16163	73
196	81
196	165
199	81
199	165
208	81
211	79
211	81
217	78
217	79
217	81
217	166
416	79
416	81
416	165
418	165
428	79
430	81
430	165
431	79
440	165
1377	79
1377	81
3258	79
3258	81
89	24
230	171
234	170
257	167
326	167
455	172
456	24
456	167
458	167
468	167
469	109
471	168
482	167
540	73
540	169
1450	167
1580	24
2179	102
3576	24
10074	24
15941	24
17436	102
16	61
16	179
16	190
17	61
18	18
18	61
18	179
36	6
36	18
36	30
36	61
36	189
45	18
45	61
45	79
45	181
56	18
56	39
56	187
58	18
58	39
58	187
67	24
67	39
71	24
71	79
71	134
72	18
88	18
88	73
88	79
88	81
88	102
89	18
89	24
89	39
154	18
154	73
154	78
154	79
154	81
159	73
159	79
159	179
159	190
173	73
173	78
173	79
173	81
181	1
181	5
181	7
181	82
189	78
189	79
190	73
190	78
190	79
190	81
191	73
191	78
191	79
191	109
198	1
198	2
198	73
209	73
209	79
209	176
209	182
217	73
217	79
217	81
217	84
227	24
227	73
227	192
227	195
229	73
229	78
229	79
229	81
229	84
230	169
230	181
230	182
233	18
233	61
233	73
233	189
234	78
234	79
234	170
237	18
237	79
238	18
238	187
278	102
278	103
278	197
288	24
288	39
288	167
289	24
289	39
299	24
299	39
299	167
300	24
300	109
302	24
302	73
302	109
306	24
306	102
306	103
306	167
318	24
318	39
318	73
320	24
320	39
320	167
325	24
325	39
327	102
327	103
327	167
331	102
331	103
331	167
333	24
333	73
333	109
344	24
344	134
344	185
344	193
349	24
349	39
349	167
371	73
371	78
371	79
371	183
377	78
377	79
377	177
378	79
378	190
403	73
403	79
403	169
405	78
405	79
407	184
412	169
412	181
412	182
423	79
423	81
423	134
436	73
436	78
436	79
436	170
458	24
458	167
464	18
464	102
464	187
466	18
466	24
466	39
468	24
468	102
468	103
468	167
474	24
474	167
475	102
475	103
484	102
484	167
486	78
486	79
486	81
486	176
487	61
487	179
488	78
488	79
489	79
489	177
489	198
490	72
490	78
490	79
490	170
491	102
491	103
492	176
492	178
492	180
492	186
493	78
493	79
493	176
494	79
494	176
494	178
495	78
495	79
495	183
496	72
496	78
496	79
497	78
497	79
497	177
498	79
498	169
499	78
499	79
500	1
500	176
500	186
501	78
501	79
502	24
502	30
503	1
503	5
504	73
505	2
505	78
505	79
505	177
506	82
507	176
507	178
507	186
508	78
508	79
509	6
509	18
509	61
509	189
510	73
510	78
510	79
510	177
510	198
511	24
511	73
511	192
512	1
512	78
512	79
512	177
513	78
513	79
514	1
514	177
515	18
515	179
515	190
516	18
516	61
516	189
517	1
517	73
517	79
517	177
518	7
518	89
518	179
519	1
519	6
519	61
519	177
520	18
520	39
520	187
521	73
521	79
521	182
521	188
521	196
522	7
522	30
522	89
522	179
523	24
523	39
523	109
536	73
536	169
536	181
536	182
537	73
537	176
537	178
538	24
538	73
538	78
538	79
538	109
544	24
544	73
547	102
547	103
691	18
691	81
691	187
701	24
701	73
704	73
704	79
704	84
707	1
707	72
707	73
726	1
726	89
726	191
759	79
785	1
785	5
785	6
785	61
808	73
808	181
808	182
808	194
815	1
815	73
855	73
855	78
855	79
855	170
872	179
872	188
872	190
883	1
883	5
883	7
883	82
930	1
930	7
930	89
951	72
951	73
951	192
955	1
955	7
955	89
966	72
966	78
966	79
967	24
967	73
967	79
972	18
972	24
972	39
978	1
978	72
978	73
978	177
991	18
991	24
991	73
991	79
991	81
1034	24
1034	73
1034	79
1042	24
1042	167
1044	1
1044	73
1044	177
1055	73
1055	78
1055	79
1055	188
1055	196
1098	18
1098	79
1104	1
1104	6
1104	73
1118	1
1118	73
1118	78
1118	79
1132	73
1132	191
1145	1
1145	72
1145	73
1145	177
1151	73
1151	79
1151	81
1151	84
1151	195
1179	78
1179	79
1179	181
1179	182
1181	176
1181	178
1181	180
1181	186
1182	79
1182	176
1182	178
1185	176
1185	178
1185	180
1185	186
1185	194
1194	73
1194	176
1194	178
1197	73
1197	176
1197	178
1200	78
1200	79
1200	176
1200	178
1200	180
1270	61
1274	1
1274	5
1375	73
1375	79
1375	81
1375	84
1377	73
1377	78
1377	79
1377	81
1406	73
1406	78
1406	181
1406	182
1444	24
1444	102
1444	167
1455	102
1455	103
1475	24
1475	39
1510	73
1510	78
1510	79
1510	81
1510	84
1573	24
1609	18
1609	24
1613	102
1613	103
1670	73
1670	176
1670	178
1670	180
1673	30
1673	73
1673	79
1673	109
1677	61
1677	189
1714	6
1714	30
1714	61
1714	73
1795	24
1795	73
1795	134
1795	192
1797	30
1797	73
1797	78
1797	79
1852	72
1852	73
1852	78
1852	183
1854	72
1854	78
1854	79
1859	73
1859	78
1859	79
1859	183
1860	79
1860	102
1860	103
1863	103
1863	194
1863	198
1979	79
1979	102
1979	103
1979	198
2014	1
2014	7
2014	179
2018	18
2018	24
2018	39
2075	14
2121	73
2121	78
2121	79
2121	81
2121	84
2150	73
2150	78
2150	180
2179	102
2179	103
2179	197
2370	1
2370	5
2370	82
2380	1
2380	72
2380	73
2380	79
2380	177
2436	73
2436	134
2436	193
2439	24
2439	193
2449	193
2500	18
2500	39
2500	90
2643	73
2643	176
2643	178
2643	180
2738	73
2738	78
2738	79
2738	181
2745	14
2745	18
2745	39
2745	90
2839	73
2839	81
2839	109
2850	176
2850	178
2850	180
2850	194
2923	102
2923	103
2927	102
2927	103
2940	1
2941	72
2941	73
2941	78
2941	79
2956	73
2956	78
2956	177
2976	102
2976	103
2978	78
2978	79
3085	72
3085	73
3085	78
3113	24
3113	73
3113	134
3113	192
3124	73
3124	78
3124	79
3124	179
3238	73
3238	78
3238	79
3238	188
3238	196
3240	1
3240	2
3240	72
3240	177
3317	102
3317	103
3317	167
3404	18
3404	24
3468	81
3468	84
3560	184
3616	73
3616	81
3616	84
3667	102
3667	103
3667	167
3859	72
3859	73
3859	78
3859	79
3928	72
3928	73
3928	78
3928	79
3931	24
3931	73
3931	109
4036	18
4036	39
4036	90
4074	73
4074	79
4074	81
4074	84
4104	73
4104	176
4104	178
4104	180
4135	7
4135	89
4135	179
4255	78
4255	79
4255	81
4262	79
4262	176
4292	24
4297	24
4428	73
4428	78
4428	79
4562	24
4562	167
4567	72
4567	73
4567	188
4567	196
4572	72
4572	73
4572	188
4572	196
4740	72
4740	73
4740	78
4740	183
4923	184
4923	191
5079	61
5079	79
5079	179
5217	73
5217	78
5217	79
5478	18
5478	79
5746	134
5746	185
5746	195
6006	73
6006	78
6006	79
6006	81
6006	185
6191	79
6191	176
6191	178
6202	79
6202	81
6202	84
6390	184
6390	191
6461	176
6461	178
6461	186
6621	102
6621	103
6621	197
6762	14
6762	18
6772	176
6772	178
6772	180
6772	186
6853	134
6853	185
7276	81
7276	134
7276	185
7639	1
7639	2
7639	73
7639	177
7711	73
7711	78
7711	79
7711	170
7766	102
7766	103
7766	167
8047	73
8047	79
8047	183
8350	1
8350	78
8350	79
8350	177
8356	18
8356	39
9160	24
9160	102
9160	195
9262	73
9262	78
9262	79
9762	14
9762	18
10161	61
10737	72
10737	73
10737	183
10737	194
10824	78
10824	134
10824	183
10825	1
10825	2
10825	73
10825	78
10825	79
10827	73
10827	179
11222	72
11222	73
11222	78
11222	79
11222	185
12288	184
12288	191
12573	73
12573	78
12573	79
12573	81
12918	73
12918	79
12918	81
12918	195
13147	79
13147	81
13147	134
13214	2
13214	72
13214	73
13214	78
14340	102
14340	103
14340	197
15189	81
15371	24
15371	134
15371	185
15566	78
15566	79
17895	73
17895	79
17895	109
18515	73
18515	79
18515	81
18630	179
18630	190
55	18
55	24
55	39
55	124
55	130
55	200
55	201
55	202
55	203
55	204
55	205
55	208
67	18
67	24
67	39
67	124
67	130
67	199
67	200
67	201
67	202
67	203
67	204
67	205
67	209
89	18
89	24
89	39
89	49
89	124
89	130
89	134
89	167
89	199
89	200
89	201
89	202
89	203
89	204
89	205
89	206
89	207
89	208
89	209
89	213
89	214
89	215
89	228
89	229
89	230
89	231
89	232
89	233
89	234
89	235
293	24
293	130
293	200
293	201
298	24
298	130
298	199
298	206
298	210
333	24
333	130
333	200
333	201
1580	167
1580	211
1580	212
1580	224
1580	225
1580	226
1580	227
3397	167
3397	216
3397	217
3397	218
3397	219
3397	220
3397	221
3397	222
3397	223
59	16
59	25
59	269
98	16
98	25
98	269
98	275
99	16
99	25
193	16
193	25
193	109
429	25
429	242
441	16
441	25
441	275
549	245
549	247
549	250
549	266
549	271
550	16
550	25
550	245
550	248
550	249
550	263
550	267
552	16
552	25
552	242
552	245
552	248
552	249
552	263
552	266
552	267
552	268
552	272
552	274
557	75
557	245
557	248
557	249
557	263
557	267
559	75
559	245
559	248
559	249
559	253
559	259
563	247
563	252
563	254
573	75
573	182
573	242
573	245
573	248
573	249
573	267
594	88
594	245
594	247
594	250
594	252
594	254
612	16
612	24
612	25
612	109
612	242
852	16
852	25
852	275
857	181
857	182
874	24
874	25
874	109
877	16
877	109
877	239
877	240
877	241
877	246
985	16
985	25
986	251
997	16
997	25
997	202
1000	16
1000	25
1000	202
1000	269
1001	16
1001	25
1001	202
1001	269
1013	16
1013	25
1013	202
1013	269
1019	16
1019	25
1019	202
1019	269
1027	16
1027	25
1027	202
1027	269
1083	16
1083	25
1083	275
1206	182
1206	253
1206	259
1206	260
1206	261
1206	262
1225	251
1227	245
1227	247
1227	268
1227	271
1227	272
1227	276
1360	25
1830	88
1830	245
1830	247
1830	250
1830	252
1830	254
1878	16
1878	25
1878	275
1879	16
1879	25
1879	109
1883	242
1885	16
1885	24
1885	25
1889	16
1889	25
1889	109
1889	242
1892	16
1892	24
1892	25
1892	269
1895	16
1895	25
1895	202
1895	269
1896	16
1896	25
2029	16
2029	24
2029	25
2029	109
2029	265
2029	273
2033	16
2033	25
2033	265
2033	273
2033	279
2490	25
2490	265
2490	273
2490	279
2552	16
2552	24
2552	25
2629	16
2629	24
2629	25
2629	109
2637	16
2637	25
2637	265
2637	273
2637	279
2936	16
2936	24
2936	25
2936	269
2938	16
2938	25
2938	275
3008	251
3058	251
3058	256
3058	257
3281	16
3281	25
3281	109
3281	242
3430	25
3430	181
3430	245
3430	249
3430	253
3430	263
3439	182
3439	253
3439	259
3439	260
3439	261
3439	262
3443	181
3443	248
3443	272
3443	274
3443	276
3452	181
3452	253
3452	259
3455	182
3455	253
3455	259
3455	260
3455	261
3455	262
3458	247
3458	249
3458	250
3791	16
3791	25
3791	265
3791	273
3791	279
3896	251
3954	264
3954	276
4129	16
4129	25
4129	242
4129	252
4129	277
4494	16
4494	24
4494	25
4723	245
4723	248
4723	268
4723	276
4724	182
4724	253
4724	259
4724	260
4724	261
4724	262
5260	16
5260	25
5260	109
5434	239
5434	240
5434	241
5434	243
5434	244
5809	255
6073	16
6073	25
6073	109
6784	16
6784	24
6784	25
6784	109
6784	242
7038	16
7038	265
7038	273
7038	279
7155	241
7155	243
7155	264
7224	251
7224	256
7224	257
7224	258
7239	182
7239	253
7239	260
7239	261
7239	262
7329	16
7329	265
7329	273
7329	279
7837	16
7837	25
7837	239
7837	240
7837	241
7837	244
7927	16
7927	25
7927	109
8065	182
8065	253
8065	259
8065	260
8065	261
8065	262
8066	251
8066	256
8066	257
8066	258
8153	251
8153	256
8153	257
8153	258
8567	247
8567	268
8567	276
9267	239
9267	240
9267	241
9267	243
9267	275
9603	182
9603	253
9603	259
9603	260
